komentar;cleaning;tokenize;normalize;stopword;stemming
Tetep suka banget dengan tempat ini;Tetep suka banget dengan tempat ini;['tetep', 'suka', 'banget', 'dengan', 'tempat', 'ini'];['tetap', 'suka', 'banget', 'dengan', 'tempat', 'ini'];['suka', 'banget'];['suka', 'banget']
air terjunnya kecil warna hijau, kalau sunsetnya top banget si;air terjunnya kecil warna hijau kalau sunsetnya top banget si;['air', 'terjunnya', 'kecil', 'warna', 'hijau', 'kalau', 'sunsetnya', 'top', 'banget', 'si'];['air', 'terjunnya', 'kecil', 'warna', 'hijau', 'kalau', 'sunsetnya', 'top', 'banget', 'sih'];['air', 'terjunnya', 'warna', 'hijau', 'sunsetnya', 'top', 'banget'];['air', 'terjun', 'warna', 'hijau', 'sunsetnya', 'top', 'banget']
Air Terjun Toroan  di Desa Ketapang, Kecamatan Ketapang, Kabupaten Sampang dekat Jl. Raya dan pantai utara Sampang. Parkir motor dan mobil luas;Air Terjun Toroan di Desa Ketapang Kecamatan Ketapang Kabupaten Sampang dekat Jl Raya dan pantai utara Sampang Parkir motor dan mobil luas;['air', 'terjun', 'toroan', 'di', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'dekat', 'jl', 'raya', 'dan', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'dan', 'mobil', 'luas'];['air', 'terjun', 'toroan', 'di', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'dekat', 'jl', 'raya', 'dan', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'dan', 'mobil', 'luas'];['air', 'terjun', 'toroan', 'desa', 'ketapang', 'kecamatan', 'ketapang', 'kabupaten', 'sampang', 'jl', 'raya', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'mobil', 'luas'];['air', 'terjun', 'toro', 'desa', 'ketapang', 'camat', 'ketapang', 'kabupaten', 'sampang', 'jl', 'raya', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'mobil', 'luas']
Air terjun langsung ke pantai satu satunya di daerah madura.. dan merupakan destinasi wisata yg ckup langka.;Air terjun langsung ke pantai satu satunya di daerah madura dan merupakan destinasi wisata yg ckup langka;['air', 'terjun', 'langsung', 'ke', 'pantai', 'satu', 'satunya', 'di', 'daerah', 'madura', 'dan', 'merupakan', 'destinasi', 'wisata', 'yg', 'ckup', 'langka'];['air', 'terjun', 'langsung', 'ke', 'pantai', 'satu', 'satunya', 'di', 'daerah', 'madura', 'dan', 'merupakan', 'destinasi', 'wisata', 'yang', 'cukup', 'langka'];['air', 'terjun', 'langsung', 'pantai', 'satunya', 'daerah', 'madura', 'destinasi', 'wisata', 'langka'];['air', 'terjun', 'langsung', 'pantai', 'satu', 'daerah', 'madura', 'destinasi', 'wisata', 'langka']
Datanglah saat pagi air laut belum pasang, airnya bening karang terlihat;Datanglah saat pagi air laut belum pasang airnya bening karang terlihat;['datanglah', 'saat', 'pagi', 'air', 'laut', 'belum', 'pasang', 'airnya', 'bening', 'karang', 'terlihat'];['datanglah', 'saat', 'pagi', 'air', 'laut', 'belum', 'pasang', 'airnya', 'bening', 'karang', 'terlihat'];['datanglah', 'pagi', 'air', 'laut', 'pasang', 'airnya', 'bening', 'karang'];['datang', 'pagi', 'air', 'laut', 'pasang', 'air', 'bening', 'karang']
unik.....air terjun langsung k laut.....cuma keamanan mash minim......;unikair terjun langsung k lautcuma keamanan mash minim;['unikair', 'terjun', 'langsung', 'k', 'lautcuma', 'keamanan', 'mash', 'minim'];['unikair', 'terjun', 'langsung', 'ke', 'lautcuma', 'keamanan', 'mash', 'minim'];['unikair', 'terjun', 'langsung', 'lautcuma', 'keamanan', 'mash', 'minim'];['unikair', 'terjun', 'langsung', 'lautcuma', 'aman', 'mash', 'minim']
mantap;mantap;['mantap'];['mantap'];['mantap'];['mantap']
salah satu icon wisata yg ada di Ketapang Sampang tempatnya yg nyaman untuk bersantai;salah satu icon wisata yg ada di Ketapang Sampang tempatnya yg nyaman untuk bersantai;['salah', 'satu', 'icon', 'wisata', 'yg', 'ada', 'di', 'ketapang', 'sampang', 'tempatnya', 'yg', 'nyaman', 'untuk', 'bersantai'];['salah', 'satu', 'icon', 'wisata', 'yang', 'ada', 'di', 'ketapang', 'sampang', 'tempatnya', 'yang', 'nyaman', 'untuk', 'bersantai'];['salah', 'icon', 'wisata', 'ketapang', 'sampang', 'tempatnya', 'nyaman', 'bersantai'];['salah', 'icon', 'wisata', 'ketapang', 'sampang', 'tempat', 'nyaman', 'santa']
Ada Cafe nya yg bisa menikmati semilir angin laut;Ada Cafe nya yg bisa menikmati semilir angin laut;['ada', 'cafe', 'nya', 'yg', 'bisa', 'menikmati', 'semilir', 'angin', 'laut'];['ada', 'cafe', 'nya', 'yang', 'bisa', 'menikmati', 'semilir', 'angin', 'laut'];['cafe', 'menikmati', 'semilir', 'angin', 'laut'];['cafe', 'nikmat', 'milir', 'angin', 'laut']
Lumayan,jln menuju air terjunnya agak licin;Lumayanjln menuju air terjunnya agak licin;['lumayanjln', 'menuju', 'air', 'terjunnya', 'agak', 'licin'];['lumayanjln', 'menuju', 'air', 'terjunnya', 'agak', 'licin'];['lumayanjln', 'air', 'terjunnya', 'licin'];['lumayanjln', 'air', 'terjun', 'licin']
refreshing with orang2 kantor dan keluarga;refreshing with orang kantor dan keluarga;['refreshing', 'with', 'orang', 'kantor', 'dan', 'keluarga'];['refreshing', 'with', 'orang', 'kantor', 'dan', 'keluarga'];['refreshing', 'with', 'orang', 'kantor', 'keluarga'];['refreshing', 'with', 'orang', 'kantor', 'keluarga']
