komentar;cleaning;tokenize;normalize;stopword
Klo kita kesana bisa kebayang hidup di jaman kerajaan;Klo kita kesana bisa kebayang hidup di jaman kerajaan;['klo', 'kita', 'kesana', 'bisa', 'kebayang', 'hidup', 'di', 'jaman', 'kerajaan'];['kalo', 'kita', 'kesana', 'bisa', 'terbayang', 'hidup', 'di', 'jaman', 'kerajaan'];['kesana', 'terbayang', 'hidup', 'jaman', 'kerajaan']
"SUMEKAR. Sumenep Kraton adalah istana raja yang dibangun oleh Aria Wiraradja.
Di museum kraton disimpan benda2 peninggalan Raja Sumenep dari masa ke masa.
Seorang guide akan menuntun dan menjelaskan pada pengunjung mengenai seluk beluk kraton.";SUMEKAR Sumenep Kraton adalah istana raja yang dibangun oleh Aria Wiraradja Di museum kraton disimpan benda peninggalan Raja Sumenep dari masa ke masa Seorang guide akan menuntun dan menjelaskan pada pengunjung mengenai seluk beluk kraton;['sumekar', 'sumenep', 'kraton', 'adalah', 'istana', 'raja', 'yang', 'dibangun', 'oleh', 'aria', 'wiraradja', 'di', 'museum', 'kraton', 'disimpan', 'benda', 'peninggalan', 'raja', 'sumenep', 'dari', 'masa', 'ke', 'masa', 'seorang', 'guide', 'akan', 'menuntun', 'dan', 'menjelaskan', 'pada', 'pengunjung', 'mengenai', 'seluk', 'beluk', 'kraton'];['sumekar', 'sumenep', 'kraton', 'adalah', 'istana', 'raja', 'yang', 'dibangun', 'oleh', 'aria', 'wiraradja', 'di', 'museum', 'kraton', 'disimpan', 'benda', 'peninggalan', 'raja', 'sumenep', 'dari', 'masa', 'ke', 'masa', 'seorang', 'guide', 'akan', 'menuntun', 'dan', 'menjelaskan', 'pada', 'pengunjung', 'mengenai', 'seluk', 'beluk', 'kraton'];['sumekar', 'sumenep', 'kraton', 'istana', 'raja', 'dibangun', 'aria', 'wiraradja', 'museum', 'kraton', 'disimpan', 'benda', 'peninggalan', 'raja', 'sumenep', 'guide', 'menuntun', 'pengunjung', 'seluk', 'beluk', 'kraton']
Bagus....indah...artistik;Bagusindahartistik;['bagusindahartistik'];['bagusindahartistik'];['bagusindahartistik']
Disana kita bisa menambah wawasan tentang sejarah dan peninggalan dari kota sumenep... tempatnya juga lumayan bagus dan terawat;Disana kita bisa menambah wawasan tentang sejarah dan peninggalan dari kota sumenep tempatnya juga lumayan bagus dan terawat;['disana', 'kita', 'bisa', 'menambah', 'wawasan', 'tentang', 'sejarah', 'dan', 'peninggalan', 'dari', 'kota', 'sumenep', 'tempatnya', 'juga', 'lumayan', 'bagus', 'dan', 'terawat'];['disana', 'kita', 'bisa', 'menambah', 'wawasan', 'tentang', 'sejarah', 'dan', 'peninggalan', 'dari', 'kota', 'sumenep', 'tempatnya', 'juga', 'lumayan', 'bagus', 'dan', 'terawat'];['disana', 'menambah', 'wawasan', 'sejarah', 'peninggalan', 'kota', 'sumenep', 'tempatnya', 'lumayan', 'bagus', 'terawat']
Keratonnya bagus. Masih belum banyak diganti.;Keratonnya bagus Masih belum banyak diganti;['keratonnya', 'bagus', 'masih', 'belum', 'banyak', 'diganti'];['keratonnya', 'bagus', 'masih', 'belum', 'banyak', 'diganti'];['keratonnya', 'bagus', 'diganti']
"Sejarah keraton sumenep dan jawa yg berhubungan.
Tempat wisata sejarah yg wajib dikunjungi.
Ada guide yg ramah setia mendampingi kita";Sejarah keraton sumenep dan jawa yg berhubungan Tempat wisata sejarah yg wajib dikunjungi Ada guide yg ramah setia mendampingi kita;['sejarah', 'keraton', 'sumenep', 'dan', 'jawa', 'yg', 'berhubungan', 'tempat', 'wisata', 'sejarah', 'yg', 'wajib', 'dikunjungi', 'ada', 'guide', 'yg', 'ramah', 'setia', 'mendampingi', 'kita'];['sejarah', 'keraton', 'sumenep', 'dan', 'jawa', 'yang', 'berhubungan', 'tempat', 'wisata', 'sejarah', 'yang', 'wajib', 'dikunjungi', 'ada', 'guide', 'yang', 'ramah', 'setia', 'mendampingi', 'kita'];['sejarah', 'keraton', 'sumenep', 'jawa', 'berhubungan', 'wisata', 'sejarah', 'wajib', 'dikunjungi', 'guide', 'ramah', 'setia', 'mendampingi']
Tempat bersejarah;Tempat bersejarah;['tempat', 'bersejarah'];['tempat', 'bersejarah'];['bersejarah']
Salah satu Tempat bersejarah di kabupaten Sumenep yang mana dulunya keraton ini adalah pusat pemerintahan di kabupaten Sumenep, dan juga tempat tinggal seorang raja atau sultan;Salah satu Tempat bersejarah di kabupaten Sumenep yang mana dulunya keraton ini adalah pusat pemerintahan di kabupaten Sumenep dan juga tempat tinggal seorang raja atau sultan;['salah', 'satu', 'tempat', 'bersejarah', 'di', 'kabupaten', 'sumenep', 'yang', 'mana', 'dulunya', 'keraton', 'ini', 'adalah', 'pusat', 'pemerintahan', 'di', 'kabupaten', 'sumenep', 'dan', 'juga', 'tempat', 'tinggal', 'seorang', 'raja', 'atau', 'sultan'];['salah', 'satu', 'tempat', 'bersejarah', 'di', 'kabupaten', 'sumenep', 'yang', 'mana', 'dulunya', 'keraton', 'ini', 'adalah', 'pusat', 'pemerintahan', 'di', 'kabupaten', 'sumenep', 'dan', 'juga', 'tempat', 'tinggal', 'seorang', 'raja', 'atau', 'sultan'];['salah', 'bersejarah', 'kabupaten', 'sumenep', 'dulunya', 'keraton', 'pusat', 'pemerintahan', 'kabupaten', 'sumenep', 'tinggal', 'raja', 'sultan']
Tempatnya kurang terawat...;Tempatnya kurang terawat;['tempatnya', 'kurang', 'terawat'];['tempatnya', 'kurang', 'terawat'];['tempatnya', 'terawat']
"Sangat cocok untuk belajar sejarah kerajaan yang adadi Sumenep.
Tiket masuknya pun murah";Sangat cocok untuk belajar sejarah kerajaan yang adadi Sumenep Tiket masuknya pun murah;['sangat', 'cocok', 'untuk', 'belajar', 'sejarah', 'kerajaan', 'yang', 'adadi', 'sumenep', 'tiket', 'masuknya', 'pun', 'murah'];['sangat', 'cocok', 'untuk', 'belajar', 'sejarah', 'kerajaan', 'yang', 'adadi', 'sumenep', 'tiket', 'masuknya', 'pun', 'murah'];['cocok', 'belajar', 'sejarah', 'kerajaan', 'adadi', 'sumenep', 'tiket', 'masuknya', 'murah']
